number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
82,0.8272881355932203,2025-12-06 16:12:27.316668,2025-12-06 16:12:29.255512,0 days 00:00:01.938844,0.9469593045391946,0.17672504875691877,3,182,0.961095950177419,COMPLETE
83,0.8262335216572505,2025-12-06 16:12:29.255610,2025-12-06 16:12:31.750002,0 days 00:00:02.494392,0.9777275460255582,0.16729658558149194,4,242,0.9757390348952815,COMPLETE
84,0.8261393596986817,2025-12-06 16:12:31.750096,2025-12-06 16:12:33.815022,0 days 00:00:02.064926,0.962502172897705,0.035404766385687375,3,216,0.9504000419651009,COMPLETE
85,0.8250282485875707,2025-12-06 16:12:33.815094,2025-12-06 16:12:36.040247,0 days 00:00:02.225153,0.5946027513972226,0.22448940258286607,4,225,0.9302229033165011,COMPLETE
86,0.8341431261770246,2025-12-06 16:12:36.040346,2025-12-06 16:12:37.552188,0 days 00:00:01.511842,0.6638807557820859,0.18981441206899693,3,174,0.9870439646174634,COMPLETE
87,0.8306967984934086,2025-12-06 16:12:37.552297,2025-12-06 16:12:39.098359,0 days 00:00:01.546062,0.659820747571715,0.19195418937521946,3,175,0.9862239472206997,COMPLETE
88,0.8318267419962334,2025-12-06 16:12:39.098456,2025-12-06 16:12:40.324613,0 days 00:00:01.226157,0.5713862301875399,0.15622143596702479,3,141,0.8695560199345215,COMPLETE
89,0.8182485875706215,2025-12-06 16:12:40.324714,2025-12-06 16:12:41.917407,0 days 00:00:01.592693,0.7114890963633385,0.20981360485138295,3,190,0.8164503619050928,COMPLETE
90,0.8216572504708097,2025-12-06 16:12:41.917506,2025-12-06 16:12:43.622997,0 days 00:00:01.705491,0.7454874868288439,0.23454114247604366,4,165,0.9676664262195056,COMPLETE
91,0.8217137476459511,2025-12-06 16:12:43.623104,2025-12-06 16:12:45.232686,0 days 00:00:01.609582,0.587916367828615,0.17691458528704054,3,201,0.976661499038497,COMPLETE
92,0.836271186440678,2025-12-06 16:12:45.232793,2025-12-06 16:12:47.101436,0 days 00:00:01.868643,0.9381709281471341,0.15162455419501994,3,210,0.9877817545679063,COMPLETE
93,0.823879472693032,2025-12-06 16:12:47.101534,2025-12-06 16:12:48.586624,0 days 00:00:01.485090,0.6687874421145301,0.15039023199609758,3,174,0.9996030027265399,COMPLETE
94,0.8262146892655368,2025-12-06 16:12:48.586722,2025-12-06 16:12:50.536272,0 days 00:00:01.949550,0.9276574310543534,0.24652776722688366,3,226,0.9581441999661703,COMPLETE
95,0.8261016949152542,2025-12-06 16:12:50.536449,2025-12-06 16:12:51.411611,0 days 00:00:00.875162,0.6360119544329533,0.2565904901928748,3,85,0.9452608698485159,COMPLETE
96,0.8307156308851223,2025-12-06 16:12:51.411726,2025-12-06 16:12:53.554866,0 days 00:00:02.143140,0.8826566850068176,0.1924863922909564,3,260,0.988253276420856,COMPLETE
97,0.8262335216572505,2025-12-06 16:12:53.554976,2025-12-06 16:12:55.111340,0 days 00:00:01.556364,0.5323668841157522,0.1412296218933626,4,151,0.92484115094309,COMPLETE
98,0.8195103578154427,2025-12-06 16:12:55.111443,2025-12-06 16:12:56.722416,0 days 00:00:01.610973,0.9384896544011782,0.2674876005795339,3,183,0.9619344977331331,COMPLETE
99,0.8362711864406781,2025-12-06 16:12:56.722538,2025-12-06 16:12:58.524160,0 days 00:00:01.801622,0.5512042722346657,0.12801471725606783,3,213,0.9402500145788936,COMPLETE
100,0.8251224105461394,2025-12-06 16:12:58.524260,2025-12-06 16:13:00.957506,0 days 00:00:02.433246,0.5151553041459109,0.13400982783349344,4,210,0.978346625857713,COMPLETE
101,0.8295103578154426,2025-12-06 16:13:00.957614,2025-12-06 16:13:02.565269,0 days 00:00:01.607655,0.554403747545326,0.09160486085742933,3,193,0.9383315714692207,COMPLETE
102,0.8306967984934086,2025-12-06 16:13:02.565366,2025-12-06 16:13:04.462081,0 days 00:00:01.896715,0.5839253956213928,0.12716653199885525,3,235,0.9695445682014222,COMPLETE
103,0.8362711864406781,2025-12-06 16:13:04.462214,2025-12-06 16:13:06.500280,0 days 00:00:02.038066,0.6050745955892542,0.10668588142055543,3,219,0.9537225123593043,COMPLETE
104,0.8374764595103579,2025-12-06 16:13:06.500371,2025-12-06 16:13:08.555529,0 days 00:00:02.055158,0.6211862123766665,0.10971811278864634,3,220,0.9524029676742105,COMPLETE
105,0.8273069679849342,2025-12-06 16:13:08.555629,2025-12-06 16:13:10.366775,0 days 00:00:01.811146,0.6126939550247261,0.10843625977482742,3,217,0.9517174460999683,COMPLETE
106,0.82954802259887,2025-12-06 16:13:10.366877,2025-12-06 16:13:12.196817,0 days 00:00:01.829940,0.6094548251824702,0.09426710150026049,3,229,0.9911164134294668,COMPLETE
107,0.8227871939736348,2025-12-06 16:13:12.196914,2025-12-06 16:13:14.965242,0 days 00:00:02.768328,0.5987739514468898,0.12420423079508328,6,221,0.9369280572466204,COMPLETE
108,0.8250094161958569,2025-12-06 16:13:14.965349,2025-12-06 16:13:16.997263,0 days 00:00:02.031914,0.6292823479068546,0.08058667673297384,3,248,0.9066880067971606,COMPLETE
