number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,state
100,0.8349529190207156,2025-11-22 18:58:18.945200,2025-11-22 18:58:23.518930,0 days 00:00:04.573730,0.013216874765299008,4,191,132,COMPLETE
101,0.8326930320150658,2025-11-22 18:58:23.519027,2025-11-22 18:58:27.629469,0 days 00:00:04.110442,0.012740344576844014,4,188,116,COMPLETE
102,0.831563088512241,2025-11-22 18:58:27.629599,2025-11-22 18:58:32.994643,0 days 00:00:05.365044,0.01101124311703089,4,219,131,COMPLETE
103,0.8338041431261769,2025-11-22 18:58:32.994772,2025-11-22 18:58:38.350406,0 days 00:00:05.355634,0.013079392979629985,4,190,123,COMPLETE
104,0.8193220338983053,2025-11-22 18:58:38.350516,2025-11-22 18:58:42.615399,0 days 00:00:04.264883,0.012880645787918914,3,240,134,COMPLETE
105,0.8305084745762712,2025-11-22 18:58:42.615496,2025-11-22 18:58:48.756183,0 days 00:00:06.140687,0.013943070828205199,4,186,116,COMPLETE
106,0.8304708097928437,2025-11-22 18:58:48.756292,2025-11-22 18:58:55.676047,0 days 00:00:06.919755,0.011836556661333495,4,263,122,COMPLETE
107,0.8293220338983052,2025-11-22 18:58:55.676194,2025-11-22 18:58:59.091048,0 days 00:00:03.414854,0.0820103160105767,3,192,114,COMPLETE
108,0.8225988700564972,2025-11-22 18:58:59.091220,2025-11-22 18:59:03.853331,0 days 00:00:04.762111,0.22261477523330797,4,246,139,COMPLETE
109,0.8282297551789078,2025-11-22 18:59:03.853453,2025-11-22 18:59:10.489095,0 days 00:00:06.635642,0.010807592971183184,5,171,107,COMPLETE
110,0.8304896421845573,2025-11-22 18:59:10.489312,2025-11-22 18:59:15.875883,0 days 00:00:05.386571,0.012472835071781636,4,210,169,COMPLETE
111,0.8271186440677967,2025-11-22 18:59:15.876013,2025-11-22 18:59:20.008889,0 days 00:00:04.132876,0.016568603026916026,4,145,125,COMPLETE
112,0.8327118644067798,2025-11-22 18:59:20.009050,2025-11-22 18:59:24.413734,0 days 00:00:04.404684,0.013441100613565675,4,153,129,COMPLETE
113,0.832693032015066,2025-11-22 18:59:24.413875,2025-11-22 18:59:29.643144,0 days 00:00:05.229269,0.013057788310508694,4,174,119,COMPLETE
114,0.818210922787194,2025-11-22 18:59:29.643261,2025-11-22 18:59:32.641007,0 days 00:00:02.997746,0.01334144044463314,3,175,136,COMPLETE
115,0.8326741996233522,2025-11-22 18:59:32.641144,2025-11-22 18:59:37.476445,0 days 00:00:04.835301,0.011164286298851725,4,192,119,COMPLETE
116,0.8327118644067798,2025-11-22 18:59:37.476634,2025-11-22 18:59:42.301978,0 days 00:00:04.825344,0.01133012794731074,4,187,121,COMPLETE
117,0.8181920903954804,2025-11-22 18:59:42.302131,2025-11-22 18:59:45.599725,0 days 00:00:03.297594,0.011238386375577529,3,190,130,COMPLETE
118,0.8214877589453862,2025-11-22 18:59:45.599875,2025-11-22 18:59:49.160749,0 days 00:00:03.560874,0.010123224438217912,4,141,119,COMPLETE
119,0.8338229755178909,2025-11-22 18:59:49.160869,2025-11-22 18:59:54.022584,0 days 00:00:04.861715,0.012893091394653252,4,167,147,COMPLETE
120,0.8193408662900189,2025-11-22 18:59:54.022738,2025-11-22 18:59:57.140658,0 days 00:00:03.117920,0.012980418885589295,3,168,180,COMPLETE
121,0.8293596986817326,2025-11-22 18:59:57.140769,2025-11-22 19:00:00.658093,0 days 00:00:03.517324,0.011855104863652098,4,130,115,COMPLETE
122,0.8293785310734464,2025-11-22 19:00:00.658214,2025-11-22 19:00:12.248098,0 days 00:00:11.589884,0.010785325207431704,9,224,123,COMPLETE
123,0.8316007532956685,2025-11-22 19:00:12.248255,2025-11-22 19:00:17.047823,0 days 00:00:04.799568,0.013660664115856378,4,196,131,COMPLETE
124,0.832693032015066,2025-11-22 19:00:17.047915,2025-11-22 19:00:21.844832,0 days 00:00:04.796917,0.012206734710826374,4,149,200,COMPLETE
125,0.832693032015066,2025-11-22 19:00:21.844980,2025-11-22 19:00:27.686993,0 days 00:00:05.842013,0.012268505501623103,4,151,198,COMPLETE
126,0.8315630885122413,2025-11-22 19:00:27.687104,2025-11-22 19:00:32.427623,0 days 00:00:04.740519,0.014229344081267269,4,152,200,COMPLETE
